match,league,correct_time,wrong_bookies,all_times
Sevilla FC vs Deportivo Alaves,Football,20:30,"[{'bookie': 'Xscores', 'their_time': '19:30', 'gap_minutes': 60.0}]","{'Odibets': '20:30', 'Xscores': '19:30'}",Xscores: 60min
Portsmouth FC vs Sheffield United,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}]","{'Odibets': '18:00', 'Xscores': '17:00'}",Xscores: 60min
Queens Park Rangers vs Blackburn Rovers,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}]","{'Odibets': '18:00', 'Xscores': '17:00'}",Xscores: 60min
Sheffield Wednesday vs Millwall FC,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}, {'bookie': 'Betika', 'their_time': '15:00', 'gap_minutes': 180.0}]","{'Odibets': '18:00', 'Xscores': '17:00', 'Betika': '15:00'}","Xscores: 60min
Betika: 180min"
Southampton FC vs Leicester City,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}]","{'Odibets': '18:00', 'Xscores': '17:00'}",Xscores: 60min
Burnley FC vs Mansfield Town,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}]","{'Odibets': '18:00', 'Xscores': '17:00'}",Xscores: 60min
Manchester City vs Salford City,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}, {'bookie': 'Betika', 'their_time': '15:00', 'gap_minutes': 180.0}]","{'Odibets': '18:00', 'Xscores': '17:00', 'Betika': '15:00'}","Xscores: 60min
Betika: 180min"
Standard Liege vs Union Saint-Gilloise,Football,22:45,"[{'bookie': 'Xscores', 'their_time': '21:45', 'gap_minutes': 60.0}]","{'Odibets': '22:45', 'Xscores': '21:45'}",Xscores: 60min
Imisli FK vs Qarabag FK,PL,12:30,"[{'bookie': 'Betika', 'their_time': '10:30', 'gap_minutes': 120.0}]","{'Xscores': '12:30', 'Betika': '10:30'}",Betika: 120min
Mamelodi Sundowns FC vs MC Alger,CCL,15:00,"[{'bookie': 'Betika', 'their_time': '13:00', 'gap_minutes': 120.0}]","{'Xscores': '15:00', 'Betika': '13:00'}",Betika: 120min
Akritas Chlorakas vs Aris Limassol,CL,16:00,"[{'bookie': 'Betika', 'their_time': '14:00', 'gap_minutes': 120.0}]","{'Xscores': '16:00', 'Betika': '14:00'}",Betika: 120min
Karvina vs Slavia Prague,1L,16:00,"[{'bookie': 'Betika', 'their_time': '14:00', 'gap_minutes': 120.0}]","{'Xscores': '16:00', 'Betika': '14:00'}",Betika: 120min
Como vs Fiorentina,SA,16:00,"[{'bookie': 'Betika', 'their_time': '14:00', 'gap_minutes': 120.0}]","{'Xscores': '16:00', 'Betika': '14:00'}",Betika: 120min
Werder Bremen vs Bayern Munich,B,16:30,"[{'bookie': 'Betika', 'their_time': '14:30', 'gap_minutes': 120.0}]","{'Xscores': '16:30', 'Betika': '14:30'}",Betika: 120min
Glenavon vs Linfield,P,17:00,"[{'bookie': 'Betika', 'their_time': '15:00', 'gap_minutes': 120.0}]","{'Xscores': '17:00', 'Betika': '15:00'}",Betika: 120min
Glentoran vs Ballymena United,P,17:00,"[{'bookie': 'Betika', 'their_time': '15:00', 'gap_minutes': 120.0}]","{'Xscores': '17:00', 'Betika': '15:00'}",Betika: 120min
Lazio vs Atalanta,SA,19:00,"[{'bookie': 'Betika', 'their_time': '17:00', 'gap_minutes': 120.0}]","{'Xscores': '19:00', 'Betika': '17:00'}",Betika: 120min
Aston Villa vs Newcastle,FAC,19:45,"[{'bookie': 'Betika', 'their_time': '17:45', 'gap_minutes': 120.0}]","{'Xscores': '19:45', 'Betika': '17:45'}",Betika: 120min
Real Madrid vs Real Sociedad,L,22:00,"[{'bookie': 'Betika', 'their_time': '20:00', 'gap_minutes': 120.0}]","{'Xscores': '22:00', 'Betika': '20:00'}",Betika: 120min
Getafe CF vs Villarreal CF,Football,18:15,"[{'bookie': 'Xscores', 'their_time': '17:15', 'gap_minutes': 60.0}]","{'Odibets': '18:15', 'Xscores': '17:15'}",Xscores: 60min
Sevilla FC vs Deportivo Alaves,Football,20:30,"[{'bookie': 'Xscores', 'their_time': '19:30', 'gap_minutes': 60.0}]","{'Odibets': '20:30', 'Xscores': '19:30'}",Xscores: 60min
Portsmouth FC vs Sheffield United,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}]","{'Odibets': '18:00', 'Xscores': '17:00'}",Xscores: 60min
Queens Park Rangers vs Blackburn Rovers,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}]","{'Odibets': '18:00', 'Xscores': '17:00'}",Xscores: 60min
Sheffield Wednesday vs Millwall FC,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}]","{'Odibets': '18:00', 'Xscores': '17:00'}",Xscores: 60min
Southampton FC vs Leicester City,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}]","{'Odibets': '18:00', 'Xscores': '17:00'}",Xscores: 60min
Burnley FC vs Mansfield Town,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}]","{'Odibets': '18:00', 'Xscores': '17:00'}",Xscores: 60min
Manchester City vs Salford City,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}, {'bookie': 'Betika', 'their_time': '15:00', 'gap_minutes': 180.0}]","{'Odibets': '18:00', 'Xscores': '17:00', 'Betika': '15:00'}","Xscores: 60min
Betika: 180min"
Standard Liege vs Union Saint-Gilloise,Football,22:45,"[{'bookie': 'Xscores', 'their_time': '21:45', 'gap_minutes': 60.0}]","{'Odibets': '22:45', 'Xscores': '21:45'}",Xscores: 60min
Imisli FK vs Qarabag FK,PL,12:30,"[{'bookie': 'Betika', 'their_time': '10:30', 'gap_minutes': 120.0}]","{'Xscores': '12:30', 'Betika': '10:30'}",Betika: 120min
Mamelodi Sundowns FC vs MC Alger,CCL,15:00,"[{'bookie': 'Betika', 'their_time': '13:00', 'gap_minutes': 120.0}]","{'Xscores': '15:00', 'Betika': '13:00'}",Betika: 120min
Como vs Fiorentina,SA,16:00,"[{'bookie': 'Betika', 'their_time': '14:00', 'gap_minutes': 120.0}]","{'Xscores': '16:00', 'Betika': '14:00'}",Betika: 120min
Werder Bremen vs Bayern Munich,B,16:30,"[{'bookie': 'Betika', 'their_time': '14:30', 'gap_minutes': 120.0}]","{'Xscores': '16:30', 'Betika': '14:30'}",Betika: 120min
Lazio vs Atalanta,SA,19:00,"[{'bookie': 'Betika', 'their_time': '17:00', 'gap_minutes': 120.0}]","{'Xscores': '19:00', 'Betika': '17:00'}",Betika: 120min
Aston Villa vs Newcastle,FAC,19:45,"[{'bookie': 'Betika', 'their_time': '17:45', 'gap_minutes': 120.0}]","{'Xscores': '19:45', 'Betika': '17:45'}",Betika: 120min
Real Madrid vs Real Sociedad,L,22:00,"[{'bookie': 'Betika', 'their_time': '20:00', 'gap_minutes': 120.0}]","{'Xscores': '22:00', 'Betika': '20:00'}",Betika: 120min
Getafe CF vs Villarreal CF,Football,18:15,"[{'bookie': 'Xscores', 'their_time': '17:15', 'gap_minutes': 60.0}]","{'Odibets': '18:15', 'Xscores': '17:15'}",Xscores: 60min
Sevilla FC vs Deportivo Alaves,Football,20:30,"[{'bookie': 'Xscores', 'their_time': '19:30', 'gap_minutes': 60.0}]","{'Odibets': '20:30', 'Xscores': '19:30'}",Xscores: 60min
Portsmouth FC vs Sheffield United,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}]","{'Odibets': '18:00', 'Xscores': '17:00'}",Xscores: 60min
Queens Park Rangers vs Blackburn Rovers,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}]","{'Odibets': '18:00', 'Xscores': '17:00'}",Xscores: 60min
Sheffield Wednesday vs Millwall FC,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}, {'bookie': 'Betika', 'their_time': '15:00', 'gap_minutes': 180.0}]","{'Odibets': '18:00', 'Xscores': '17:00', 'Betika': '15:00'}","Xscores: 60min
Betika: 180min"
Southampton FC vs Leicester City,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}]","{'Odibets': '18:00', 'Xscores': '17:00'}",Xscores: 60min
Burnley FC vs Mansfield Town,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}]","{'Odibets': '18:00', 'Xscores': '17:00'}",Xscores: 60min
Manchester City vs Salford City,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}, {'bookie': 'Betika', 'their_time': '15:00', 'gap_minutes': 180.0}]","{'Odibets': '18:00', 'Xscores': '17:00', 'Betika': '15:00'}","Xscores: 60min
Betika: 180min"
Standard Liege vs Union Saint-Gilloise,Football,22:45,"[{'bookie': 'Xscores', 'their_time': '21:45', 'gap_minutes': 60.0}]","{'Odibets': '22:45', 'Xscores': '21:45'}",Xscores: 60min
Imisli FK vs Qarabag FK,PL,12:30,"[{'bookie': 'Betika', 'their_time': '10:30', 'gap_minutes': 120.0}]","{'Xscores': '12:30', 'Betika': '10:30'}",Betika: 120min
Mamelodi Sundowns FC vs MC Alger,CCL,15:00,"[{'bookie': 'Betika', 'their_time': '13:00', 'gap_minutes': 120.0}]","{'Xscores': '15:00', 'Betika': '13:00'}",Betika: 120min
Akritas Chlorakas vs Aris Limassol,CL,16:00,"[{'bookie': 'Betika', 'their_time': '14:00', 'gap_minutes': 120.0}]","{'Xscores': '16:00', 'Betika': '14:00'}",Betika: 120min
Karvina vs Slavia Prague,1L,16:00,"[{'bookie': 'Betika', 'their_time': '14:00', 'gap_minutes': 120.0}]","{'Xscores': '16:00', 'Betika': '14:00'}",Betika: 120min
Como vs Fiorentina,SA,16:00,"[{'bookie': 'Betika', 'their_time': '14:00', 'gap_minutes': 120.0}]","{'Xscores': '16:00', 'Betika': '14:00'}",Betika: 120min
Werder Bremen vs Bayern Munich,B,16:30,"[{'bookie': 'Betika', 'their_time': '14:30', 'gap_minutes': 120.0}]","{'Xscores': '16:30', 'Betika': '14:30'}",Betika: 120min
Glenavon vs Linfield,P,17:00,"[{'bookie': 'Betika', 'their_time': '15:00', 'gap_minutes': 120.0}]","{'Xscores': '17:00', 'Betika': '15:00'}",Betika: 120min
Glentoran vs Ballymena United,P,17:00,"[{'bookie': 'Betika', 'their_time': '15:00', 'gap_minutes': 120.0}]","{'Xscores': '17:00', 'Betika': '15:00'}",Betika: 120min
Lazio vs Atalanta,SA,19:00,"[{'bookie': 'Betika', 'their_time': '17:00', 'gap_minutes': 120.0}]","{'Xscores': '19:00', 'Betika': '17:00'}",Betika: 120min
Aston Villa vs Newcastle,FAC,19:45,"[{'bookie': 'Betika', 'their_time': '17:45', 'gap_minutes': 120.0}]","{'Xscores': '19:45', 'Betika': '17:45'}",Betika: 120min
Real Madrid vs Real Sociedad,L,22:00,"[{'bookie': 'Betika', 'their_time': '20:00', 'gap_minutes': 120.0}]","{'Xscores': '22:00', 'Betika': '20:00'}",Betika: 120min
Getafe CF vs Villarreal CF,Football,18:15,"[{'bookie': 'Xscores', 'their_time': '17:15', 'gap_minutes': 60.0}]","{'Odibets': '18:15', 'Xscores': '17:15', 'SportPesa': '18:15'}",Xscores: 60min
Sevilla FC vs Deportivo Alaves,Football,20:30,"[{'bookie': 'Xscores', 'their_time': '19:30', 'gap_minutes': 60.0}]","{'Odibets': '20:30', 'Xscores': '19:30'}",Xscores: 60min
Portsmouth FC vs Sheffield United,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}]","{'Odibets': '18:00', 'Xscores': '17:00'}",Xscores: 60min
Queens Park Rangers vs Blackburn Rovers,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}]","{'Odibets': '18:00', 'Xscores': '17:00'}",Xscores: 60min
Sheffield Wednesday vs Millwall FC,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}, {'bookie': 'Betika', 'their_time': '15:00', 'gap_minutes': 180.0}]","{'Odibets': '18:00', 'Xscores': '17:00', 'Betika': '15:00'}","Xscores: 60min
Betika: 180min"
Southampton FC vs Leicester City,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}]","{'Odibets': '18:00', 'Xscores': '17:00'}",Xscores: 60min
Burnley FC vs Mansfield Town,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}]","{'Odibets': '18:00', 'Xscores': '17:00', 'SportPesa': '18:00'}",Xscores: 60min
Manchester City vs Salford City,Football,18:00,"[{'bookie': 'Xscores', 'their_time': '17:00', 'gap_minutes': 60.0}, {'bookie': 'Betika', 'their_time': '15:00', 'gap_minutes': 180.0}]","{'Odibets': '18:00', 'Xscores': '17:00', 'Betika': '15:00', 'SportPesa': '18:00'}","Xscores: 60min
Betika: 180min"
Standard Liege vs Union Saint-Gilloise,Football,22:45,"[{'bookie': 'Xscores', 'their_time': '21:45', 'gap_minutes': 60.0}]","{'Odibets': '22:45', 'Xscores': '21:45'}",Xscores: 60min
Imisli FK vs Qarabag FK,PL,12:30,"[{'bookie': 'Betika', 'their_time': '10:30', 'gap_minutes': 120.0}]","{'Xscores': '12:30', 'Betika': '10:30'}",Betika: 120min
Burton vs West Ham,FAC,14:15,"[{'bookie': 'SportPesa', 'their_time': '15:15', 'gap_minutes': 60.0}]","{'Xscores': '14:15', 'SportPesa': '15:15'}",SportPesa: 60min
Mamelodi Sundowns FC vs MC Alger,CCL,15:00,"[{'bookie': 'Betika', 'their_time': '13:00', 'gap_minutes': 120.0}]","{'Xscores': '15:00', 'Betika': '13:00'}",Betika: 120min
Espanyol vs Celta Vigo,L,15:00,"[{'bookie': 'SportPesa', 'their_time': '16:00', 'gap_minutes': 60.0}]","{'Xscores': '15:00', 'SportPesa': '16:00'}",SportPesa: 60min
Dinamo Zagreb vs NK Istra 1961,H,16:00,"[{'bookie': 'SportPesa', 'their_time': '17:00', 'gap_minutes': 60.0}]","{'Xscores': '16:00', 'SportPesa': '17:00'}",SportPesa: 60min
